,Sentence,Sentiment
0,geosolution technology leverage benefon gps solution provide location base search technology community platform location relevant multimedia content new powerful commercial model,1
1,esi low bk real possibility,-1
2,last quarter componenta net sale double eur eur period year early move zero pre tax profit pre tax loss eur,1
3,accord finnish russian chamber commerce major construction company finland operate russia,0
4,swedish buyout firm sell remain percent stake almost eighteen month take company public finland,0
5,spy surprised see green close,1
6,shell billion bg deal meet shareholder skepticism,-1
8,kone net sale rise year year first nine month,1
9,stockmann department store total floor space square metre stockmann investment project price tag eur million,0
10,circulation revenue increase finland sweden,1
11,sap q disappoint license real problem growth trail msft orcl goog crm adbe,-1
12,subdivision make sale revenue last year eur million eur million operating profit eur million eur million,1
14,ahlstrom corporation stock exchange announcement total new share ahlstrom corporation subscribe option right company stock option program I ii,0
15,fb go green day,1
16,msft sql server revenue grow double digit sql server premium revenue grow,1
17,accord l nnen tehtaat ceo matti karppinen company aim deliver fish product customer day early currently,0
18,company share quote nasdaq omx helsinki rautaruukki oyj rk,0
19,elcoteq se list nasdaq omx helsinki ltd,0
20,two contract turntable anode vibrocompactor deliver gansu hualu aluminum co ltd another unnamed costumer,0
21,aviva friend life top forecast ahead billion pound merger,1
22,stead base soft drink usual teho energy drink make fresh water,0
23,company plan increase unit specialist staff several dozen depend market situation,0
24,company close last year turnover four million euro,0
25,shire ceo step drive get baxalta board talk,1
26,costco premier retail dividend play cost,1
27,five storey eco efficient building gross floor area sq also include apartment,0
28,first installment cinema series conclude profile finnish inventor olavi linden whose personal artistic journey work fiskar lead dozen design award,0
29,welcome,0
30,stockmann swedish sector company ab lindex enter agreement september whereby stockmann wholly subsidiary make public tender offer lindex issue share,1
31,huhtamaki oyj stock exchange release huhtamaki capital market day institutional investor analyst hold espoo september start pm finnish time,0
32,pleased welcome tapek noma cramo group,1
33,profit taxis eur million,0
34,royal dutch shell buy bg group nearly billion,1
35,financialwire tm press release service receive compensation news opinion distribution,0
36,assa abloy kaupthe bank give neutral recommendation share price target crowns euro swedish lock maker assa abloy ab,0
37,item include restructuring cost eur year early eur dilute eps stand eur versus loss per share eur,1
38,bank post net profit lt mn,0
39,aapl afternoon selloff usual brutal get ready lose ton money,-1
40,tsla recall pretty much every single model x get short even work jump money trade,-1
42,intercontinental hotel first quarter global room revenue lag estimate,-1
43,accord finnish pension insurance company varma varma recipient two third revenue earning relate pension cover competitive tendering finland,1
44,portion million record part winning prior patent dispute finnish phone maker nokia oyj,1
45,l g still pay price dividend cut crisis chief say,-1
46,volume investment two phase project estimate usd mn eur mn,0
47,russia account lagardere magazine division revenue eur mn usd mn usa,0
48,company also estimate already carry investment lead increase net sale reach eur million,1
49,profit accounting period eur mn,0
50,six brewery record percent growth domestic beer sale last year million liter million liter sell,1
51,august october company result taxis total eur mn eur mn corresponding period,1
52,systeemitiimi sale project resource also strengthen director paul skogberg say,1
53,tesco share price jump q sale top estimate,1
54,fine print,0
55,price log clearly improve also price pulpwood go,1
56,thus sysopen digia accordance chapter section finnish company act obtain title share sentera redeem,0
58,p eastern time block contract change hand bid price,0
59,recent technology delivery include refinery technology anrak aluminium iron ore pelletize plant tata steel iron ore sinter plant bhushan steel,0
60,vip similar pattern like beginning may u sell go much high drop,1
61,firm generate sale mln eur,0
62,stora enso also meeting labor authority employment economic development centre representative government order find solution,0
63,astrazeneca profit sale stalwart fade,-1
64,chartology yahoo yhoo crazy look chart near breakout resistance line,1
65,bullish stock twitter dip yhoo gdx googl stz gold ew vz celg sbux scty,1
67,cohen steers inc share represent share capital voting right,0
68,staff recruit japan far complement network close service location country worldwide,1
70,kauko telko centralized administration dissolve appropriate part transfer operating activity group administration end year,0
71,operate profit quarter april june amount eur sale eur bn,0
72,atria choose delight attract consumer age group atria fresh range microwaveable meal,0
74,us sanction put gazprom shell alliance plan jeopardy,-1
76,profit period eur mn eur mn,1
78,however sale return growth april june ceo pekka eloholma say,1
79,operate profit total eur mn net sale,0
81,connection deal digia employ person nokia oslo silicon valley usa,0
82,brazilian unit finnish security solution provider f secure sign new client last year online news source reseller web quote division commercial director vladimir brand say,1
85,testament quality lte solution commitment japanese market add,0
86,company aim finalize negotiation sign contract start october,0
87,metso foundry jyvaskyla oy discontinue production line september company say,0
88,total six poll analyst rate real two give buy accumulate three give hold one give sell,0
89,september finnish group agree buy danish company rise poultry eur combination cash stock,1
90,yang double bottom,1
91,tesco share price grocer face sfo investigation outcome,-1
92,aapl news become bullish,1
93,gs engineering install valve liquefy natural gas lng plant build uae lng extraction gas plant operator gasco ruwais uae,0
94,percentage share voting right calculate proportion total number share register trade register total number voting right relate,0
95,real say ground rumor circulate market month,0
96,lember say matter topical also estonia bill draft social affairs ministry would scrap old age pension favorable condition,0
97,moody say give p long term senior unsecured p p short term debt rating finnish lender aktia bank eur bn usd bn euro medium term note emtn program march,0
98,tsla recall,-1
